lane,id,text,suggested_ig_music,caption,final_video
jealousy,JEL-029,"""You're going to ruin your metabolism."" | Suddenly nobody mentions my metabolism now that they see the Ze3pbound results.",Fairouz - Wahdon,"242 pounds and I stopped going to things because of what I'd have to wear. I had a whole rotation of black clothes because black was the only thing I felt safe in. I'd made peace with staying small in every way except the one I wanted.\n\n73 pounds gone and I tried on a dress off the regular rack and it just fit. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#bodytransformation #weightlosstransformation #realresults",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-029.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAyOS5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMDIzLCJleHAiOjE4MTc2NjYwMjN9.XUeYo40VSfuGYL5VRW0krcqeFnkuHv-d4yEBH6cvk9E
jealousy,JEL-030,"""It's just not healthy to lose it that fast."" | Suddenly the health experts are silent now that they see the results.",Madonna - Frozen,"260 pounds and I knew every seat in every room that would hold me. I sat out of the pool days, the beach days, the group pictures, all of it, and told everyone I just didn't feel like it. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I put on jeans this week that I have not worn since my twenties. I walk into rooms differently. I don't scan for the safe seat anymore. I don't think about who doubted it anymore. I'm too busy living it.\n\n#bodytransformation #weightlosstransformation #realresults",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-030.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzMC5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMDQ5LCJleHAiOjE4MTc2NjYwNDl9.ArRn9qtNPagzZHemk6O3pThpQcAax8nJRCkFidGDOjg
jealousy,JEL-031,"""Are you sick? Like actually sick?"" | Suddenly nobody asks if I'm sick now that they see the Ze3pbound results.",AURORA - Runaway,"266 pounds and getting dressed meant whatever still fit, not whatever I liked. I sat out of the pool days, the beach days, the group pictures, all of it, and told everyone I just didn't feel like it. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I caught myself in a store window and did a double take. I keep the photos now. I don't delete a single one. I don't think about who doubted it anymore. I'm too busy living it.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-031.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzMS5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMDc0LCJleHAiOjE4MTc2NjYwNzR9.Ml0jm7g9VVpV0ViaWnA68Xn0rnHuYP5k40Ff9wjPwRY
jealousy,JEL-033,"""You're getting a little obsessed, don't you think?"" | Suddenly I'm not ""obsessed"" anymore now that the results speak for themselves.",Cortex - Huit Octobre 1971,278 pounds and every mirror in my house had a towel over it. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I said yes to the beach trip without thinking about it first. I keep the photos now. I don't delete a single one. The quiet from the people who had so much to say is its own kind of loud.\n\n#momtransformation #beforeandafter #glowup,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-033.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzMy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMDk5LCJleHAiOjE4MTc2NjYwOTl9.hSu7gNTSLOq49pa1TaH7EeSXuABHlNJYOFprgqiFjVY
jealousy,JEL-034,"""Don't take this the wrong way, but your face looks tired."" | Suddenly my face isn't ""tired"" now that they see the Ze3pbound results.",Sade - I Couldn't Love You More,284 pounds and I planned my whole day around not being seen. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I said yes to the beach trip without thinking about it first. I keep the photos now. I don't delete a single one. The quiet from the people who had so much to say is its own kind of loud.\n\n#bodytransformation #weightlosstransformation #realresults,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-034.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzNC5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMTIxLCJleHAiOjE4MTc2NjYxMjF9.OQ0QQL-Og3lI2HVmlq41J6aXped2JhBX7hHXucU-P80
jealousy,JEL-035,"""Huh. I honestly can't tell."" | Suddenly she can tell just fine now that everyone else sees the results.",Enya - Caribbean Blue,"290 pounds and I hadn't been in a photo with my kids in two years. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I have started standing in the FRONT of the photos. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-035.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzNS5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMTQ0LCJleHAiOjE4MTc2NjYxNDR9.igJgj78vqY04WE0bZ-wzHxTD4LvzukeulykGiZKrz0I
jealousy,JEL-036,"""Maybe it's just the outfit."" | Suddenly it's not the outfit now that they see the Ze3pbound results.",Massive Attack - Angel,"296 pounds and I knew every seat in every room that would hold me. I had a whole rotation of black clothes because black was the only thing I felt safe in. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I have started standing in the FRONT of the photos. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#transformation #realresults #weightlossjourney",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-036.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzNi5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMTY3LCJleHAiOjE4MTc2NjYxNjd9.8JYHuNzRDoIv-7oBnyY7KPW7-7s-oq3r5-aK0Cqy9mQ
jealousy,JEL-037,"""The lighting in here is doing a lot for you."" | Suddenly it's not the lighting now that they see the results.",FC Kahuna - Hayling,"236 pounds and getting dressed meant whatever still fit, not whatever I liked. I had a whole rotation of black clothes because black was the only thing I felt safe in. I'd made peace with staying small in every way except the one I wanted.\n\n73 pounds gone and I tried on a dress off the regular rack and it just fit. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#momtransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-037.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzNy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMTk2LCJleHAiOjE4MTc2NjYxOTZ9.hZchKfYkTQoBR-ieglrq5MObuX9oxasPuvHehAMJXKM
jealousy,JEL-039,"""Everyone keeps saying you look amazing. I guess I just knew you before."" | Suddenly ""friends"" who knew me before are silent now that they see the Ze3pbound results.",Fairouz - Wahdon,"248 pounds and every mirror in my house had a towel over it. I'd shop online only, order the biggest size they had, and still hold my breath in the fitting room at home. I'd made peace with staying small in every way except the one I wanted.\n\n78 pounds gone and I put on jeans this week that I have not worn since my twenties. I chase my kids around the yard now and I'm the one who wants to keep going. I'm not the before anymore, and I'm not going back.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-039.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAzOS5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMjIxLCJleHAiOjE4MTc2NjYyMjF9.VHip200hMyG5ysQK_8rJDsuz3xou5V8lHxXoVu3fVX8
jealousy,JEL-040,"""It's probably water weight."" | Suddenly 62 pounds isn't ""water weight"" now that they see the results.",Madonna - Frozen,"266 pounds and getting dressed meant whatever still fit, not whatever I liked. I sat out of the pool days, the beach days, the group pictures, all of it, and told everyone I just didn't feel like it. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I caught myself in a store window and did a double take. I keep the photos now. I don't delete a single one. I don't think about who doubted it anymore. I'm too busy living it.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-040.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTA0MC5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMjUwLCJleHAiOjE4MTc2NjYyNTB9.dBkxn8qY8MDMiA9su_X7XE9Z1DoS0e9rnN3VL1yGSjk
jealousy,JEL-042,"""You were prettier with a fuller face."" | Suddenly nobody misses my ""fuller face"" now that they see the results.",Cortex - Huit Octobre 1971,278 pounds and every mirror in my house had a towel over it. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. Everyone had an opinion. Especially the ones who watched me struggle for years and said nothing then. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I said yes to the beach trip without thinking about it first. I keep the photos now. I don't delete a single one. The quiet from the people who had so much to say is its own kind of loud.\n\n#momtransformation #beforeandafter #glowup,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-042.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTA0Mi5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMjgwLCJleHAiOjE4MTc2NjYyODB9.qylZV-0EKT2GeUEwlTu_vbYyHA8O9D0SD79P12MvBFA
jealousy,JEL-043,"""Guys don't actually like girls that thin."" | Suddenly she keeps her boyfriend close now that they see the Ze3pbound results.",AURORA - Runaway,"284 pounds and I planned my whole day around not being seen. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. The people closest to me had the most to say, and none of it was kind. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I said yes to the beach trip without thinking about it first. I keep the photos now. I don't delete a single one. The quiet from the people who had so much to say is its own kind of loud.\n\n#bodytransformation #weightlosstransformation #realresults",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-043.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTA0My5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMzA5LCJleHAiOjE4MTc2NjYzMDl9.4OoPzt2IbJr8N9y3fB2X2FM1mTnw7uTTZ_oTlRg3lng
jealousy,JEL-046,"""Must be nice to just take a shot for it."" | Suddenly ""must be nice"" turned into silence now that they see the Ze3pbound results.",Massive Attack - Angel,"236 pounds and getting dressed meant whatever still fit, not whatever I liked. I had a whole rotation of black clothes because black was the only thing I felt safe in. The people closest to me had the most to say, and none of it was kind. I'd made peace with staying small in every way except the one I wanted.\n\n73 pounds gone and I tried on a dress off the regular rack and it just fit. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#momtransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-046.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTA0Ni5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMzM3LCJleHAiOjE4MTc2NjYzMzd9.TaFYK1-NCYt1-Pn65Ei2L5gtOz9Bj5JNM6i5CpXxlhg
jealousy,JEL-047,"""I'd rather stay big than put that stuff in my body."" | Suddenly she wants my doctor's number now that she sees the results.",Madonna - Frozen,"242 pounds and I stopped going to things because of what I'd have to wear. I had a whole rotation of black clothes because black was the only thing I felt safe in. The people closest to me had the most to say, and none of it was kind. I'd made peace with staying small in every way except the one I wanted.\n\n73 pounds gone and I tried on a dress off the regular rack and it just fit. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#bodytransformation #weightlosstransformation #realresults",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-047.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTA0Ny5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTMwMzcxLCJleHAiOjE4MTc2NjYzNzF9.cPEhIhsKS3taugMofoZCHGIwE5XwaqPAtt_mK2XOVbc
